"percent","count","count_taxon_exclusive","rank_code","ncbi_taxon_id","scientific_name","sample_srx","summary_date"
100,1028,1028,"U",0,"unclassified","ERX13070450",2026-04-28
100,344,344,"U",0,"unclassified","ERX13070466",2026-04-28
99.9997747322,12429623,12429623,"U",0,"unclassified","ERX13070633",2026-04-28
6.43622e-05,8,8,"S2",122929,"Norovirus GII","ERX13070633",2026-04-28
1.60906e-05,2,0,"S1",138951,"Enterovirus D","ERX13070633",2026-04-28
1.60906e-05,2,2,"S2",42789,"enterovirus D68","ERX13070633",2026-04-28
3.21811e-05,4,4,"S",1868658,"Human astrovirus","ERX13070633",2026-04-28
3.21811e-05,4,4,"S1",28875,"Rotavirus A","ERX13070633",2026-04-28
6.43622e-05,8,8,"S1",130309,"Human mastadenovirus F","ERX13070633",2026-04-28
1.60906e-05,2,2,"S1",10798,"Human parvovirus B19","ERX13070633",2026-04-28
99.9998035241,13233146,13233146,"U",0,"unclassified","ERX13070721",2026-04-28
6.04541e-05,8,8,"S3",658048,"Measles virus genotype B3","ERX13070721",2026-04-28
4.53406e-05,6,6,"S3",884095,"Measles virus strain MVi/Virginia.USA/15.09","ERX13070721",2026-04-28
3.02271e-05,4,4,"S1",138949,"Enterovirus B","ERX13070721",2026-04-28
3.02271e-05,4,4,"S1",138950,"Enterovirus C","ERX13070721",2026-04-28
3.02271e-05,4,2,"S1",138951,"Enterovirus D","ERX13070721",2026-04-28
1.51135e-05,2,2,"S2",42789,"enterovirus D68","ERX13070721",2026-04-28
99.9997403137,5006027,5006027,"U",0,"unclassified","ERX13074700",2026-04-28
0.0001198552,6,6,"S3",884095,"Measles virus strain MVi/Virginia.USA/15.09","ERX13074700",2026-04-28
1.99759e-05,1,1,"S1",28875,"Rotavirus A","ERX13074700",2026-04-28
1.99759e-05,1,0,"S1",138951,"Enterovirus D","ERX13074700",2026-04-28
1.99759e-05,1,1,"S2",42789,"enterovirus D68","ERX13074700",2026-04-28
9.98793e-05,5,5,"S1",130309,"Human mastadenovirus F","ERX13074700",2026-04-28
99.9998602154,2861541,2861541,"U",0,"unclassified","ERX13074774",2026-04-28
6.98923e-05,2,2,"S1",28875,"Rotavirus A","ERX13074774",2026-04-28
3.49462e-05,1,1,"S3",758863,"Sapovirus Hu/GI/Sapporo/MT-2010/1982","ERX13074774",2026-04-28
3.49462e-05,1,1,"S1",130309,"Human mastadenovirus F","ERX13074774",2026-04-28
99.9997872961,3290953,3290953,"U",0,"unclassified","ERX13074806",2026-04-28
0.0001215451,4,4,"S1",130309,"Human mastadenovirus F","ERX13074806",2026-04-28
3.03863e-05,1,1,"S3",658048,"Measles virus genotype B3","ERX13074806",2026-04-28
3.03863e-05,1,1,"S3",884095,"Measles virus strain MVi/Virginia.USA/15.09","ERX13074806",2026-04-28
3.03863e-05,1,1,"S1",28875,"Rotavirus A","ERX13074806",2026-04-28
