"sample_srx","summary_date","unclassified","Norovirus GII","Enterovirus D","enterovirus D68","Human astrovirus","Rotavirus A","Human mastadenovirus F","Human parvovirus B19","Measles virus genotype B3","Measles virus strain MVi/Virginia.USA/15.09","Enterovirus B","Enterovirus C","Sapovirus Hu/GI/Sapporo/MT-2010/1982","Enterovirus A"
"ERX13070450",2026-04-28,1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERX13070466",2026-04-28,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERX13070633",2026-04-28,12429623,8,2,2,4,4,8,2,NA,NA,NA,NA,NA,NA
"ERX13070721",2026-04-28,13233146,NA,4,2,NA,NA,NA,NA,8,6,4,4,NA,NA
"ERX13074700",2026-04-28,5006027,NA,1,1,NA,1,5,NA,NA,6,NA,NA,NA,NA
"ERX13074774",2026-04-28,2861541,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA
"ERX13074806",2026-04-28,3290953,NA,NA,NA,NA,1,4,NA,1,1,NA,NA,NA,NA
"SRX17036024",2026-04-28,768819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX17893387",2026-04-28,716256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX17893594",2026-04-28,939848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX19218972",2026-04-28,936551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX19219178",2026-04-28,620038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX19744091",2026-04-28,733651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX19906012",2026-04-28,832982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX20144903",2026-04-28,589223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX20263561",2026-04-28,4501033,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"SRX20341329",2026-04-28,892997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX20550415",2026-04-28,1098610,2,6,3,NA,NA,5,2,3,1,6,NA,1,2
"SRX20716461",2026-04-28,950812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX22036510",2026-04-28,6480622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX23131835",2026-04-28,390106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX23131847",2026-04-28,690971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX23658931",2026-04-28,551025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX23827988",2026-04-28,26321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX23837738",2026-04-28,60694622,3,3,2,2,5,9,1,4,3,3,4,5,3
"SRX25497238",2026-04-28,633061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX25958265",2026-04-28,492022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26040038",2026-04-28,417210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26273070",2026-04-28,36417664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26273246",2026-04-28,28503595,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26273611",2026-04-28,12209612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26273792",2026-04-28,35124983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26304777",2026-04-28,377311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26304794",2026-04-28,593352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26304795",2026-04-28,439807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26919627",2026-04-28,268043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX27391603",2026-04-28,770785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX7052244",2026-04-28,37106644,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
